breach_id,detected_at,event_id,user_id,user_role,action,resource,flags,severity,severity_level,notify_by,notify_hrs,records_at_risk,phi_elements,notify_hhs,notify_media,status,description
BRH000001,2026-06-07T16:07:33.031922,EVT00000007,USR003,DATA_ANALYST,FAILED_LOGIN,DISCHARGE_SUMMARY,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,27,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000002,2026-06-07T16:07:33.031922,EVT00000009,USR005,ADMIN,FAILED_LOGIN,PRESCRIPTIONS,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,9,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 7 days
BRH000003,2026-06-07T16:07:33.031922,EVT00000011,USR004,BILLING,DELETE,CLINICAL_NOTES,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,13,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000004,2026-06-07T16:07:33.031922,EVT00000015,USR005,ADMIN,UPDATE,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,1,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000005,2026-06-07T16:07:33.031922,EVT00000016,USR003,DATA_ANALYST,READ,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,23,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000006,2026-06-07T16:07:33.031922,EVT00000017,USR005,ADMIN,WRITE,CLINICAL_NOTES,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,48,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000007,2026-06-07T16:07:33.031922,EVT00000018,USR003,DATA_ANALYST,FAILED_LOGIN,PATIENT_DEMOGRAPHICS,"['FAILED_AUTHENTICATION', 'CLEARANCE_EXCEEDED']",HIGH,3,2026-06-10T16:07:33.031922,72,1,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000008,2026-06-07T16:07:33.031922,EVT00000019,USR005,ADMIN,READ,INSURANCE_CLAIMS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,19,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000009,2026-06-07T16:07:33.031922,EVT00000022,USR003,DATA_ANALYST,EXPORT,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,17,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000010,2026-06-07T16:07:33.031922,EVT00000024,USR007,IT_SUPPORT,READ,EHR_FULL_RECORD,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,2,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000011,2026-06-07T16:07:33.031922,EVT00000031,USR005,ADMIN,PRINT,PRESCRIPTIONS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,17,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000012,2026-06-07T16:07:33.031922,EVT00000035,USR001,PHYSICIAN,DELETE,PATIENT_DEMOGRAPHICS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,1,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000013,2026-06-07T16:07:33.031922,EVT00000037,USR008,EXTERNAL,READ,EHR_FULL_RECORD,"['UNAUTHORIZED_PHI_ACCESS', 'EXTERNAL_CLINICAL_ACCESS']",CRITICAL,4,2026-06-08T16:07:33.031922,24,7,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000014,2026-06-07T16:07:33.031922,EVT00000045,USR008,EXTERNAL,UNAUTHORIZED_ACCESS,CLINICAL_NOTES,"['UNAUTHORIZED_PHI_ACCESS', 'EXTERNAL_CLINICAL_ACCESS']",CRITICAL,4,2026-06-08T16:07:33.031922,24,42,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000015,2026-06-07T16:07:33.031922,EVT00000048,USR002,NURSE,DELETE,LAB_RESULTS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,14,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000016,2026-06-07T16:07:33.031922,EVT00000049,USR005,ADMIN,READ,INSURANCE_CLAIMS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,23,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000017,2026-06-07T16:07:33.031922,EVT00000052,USR003,DATA_ANALYST,WRITE,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,11,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000018,2026-06-07T16:07:33.031922,EVT00000056,USR008,EXTERNAL,PRINT,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,27,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000019,2026-06-07T16:07:33.031922,EVT00000057,USR005,ADMIN,WRITE,PRESCRIPTIONS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,12,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000020,2026-06-07T16:07:33.031922,EVT00000061,USR002,NURSE,FAILED_LOGIN,IMAGING_REPORTS,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,7,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000021,2026-06-07T16:07:33.031922,EVT00000062,USR001,PHYSICIAN,FAILED_LOGIN,INSURANCE_CLAIMS,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,5,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 7 days
BRH000022,2026-06-07T16:07:33.031922,EVT00000066,USR007,IT_SUPPORT,UPDATE,CLINICAL_NOTES,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,28,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000023,2026-06-07T16:07:33.031922,EVT00000073,USR004,BILLING,EXPORT,EHR_FULL_RECORD,['BULK_PHI_EXPORT'],CRITICAL,4,2026-06-08T16:07:33.031922,24,767,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",True,True,OPEN,Immediate notification required
BRH000024,2026-06-07T16:07:33.031922,EVT00000074,USR003,DATA_ANALYST,READ,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,19,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000025,2026-06-07T16:07:33.031922,EVT00000075,USR006,RESEARCHER,DELETE,EHR_FULL_RECORD,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,17,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000026,2026-06-07T16:07:33.031922,EVT00000086,USR008,EXTERNAL,UPDATE,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,17,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000027,2026-06-07T16:07:33.031922,EVT00000089,USR003,DATA_ANALYST,EXPORT,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,18,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000028,2026-06-07T16:07:33.031922,EVT00000090,USR005,ADMIN,DELETE,PATIENT_DEMOGRAPHICS,"['UNAUTHORIZED_PHI_ACCESS', 'PHI_DELETION_ATTEMPT']",CRITICAL,4,2026-06-08T16:07:33.031922,24,14,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000029,2026-06-07T16:07:33.031922,EVT00000093,USR005,ADMIN,READ,INSURANCE_CLAIMS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,19,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000030,2026-06-07T16:07:33.031922,EVT00000096,USR005,ADMIN,UPDATE,PATIENT_DEMOGRAPHICS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,12,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000031,2026-06-07T16:07:33.031922,EVT00000098,USR001,PHYSICIAN,FAILED_LOGIN,EHR_FULL_RECORD,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,40,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000032,2026-06-07T16:07:33.031922,EVT00000099,USR007,IT_SUPPORT,READ,EHR_FULL_RECORD,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,5,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000033,2026-06-07T16:07:33.031922,EVT00000101,USR003,DATA_ANALYST,DELETE,IMAGING_REPORTS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,44,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000034,2026-06-07T16:07:33.031922,EVT00000104,USR005,ADMIN,WRITE,PRESCRIPTIONS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,13,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000035,2026-06-07T16:07:33.031922,EVT00000108,USR007,IT_SUPPORT,DELETE,PRESCRIPTIONS,"['UNAUTHORIZED_PHI_ACCESS', 'PHI_DELETION_ATTEMPT']",CRITICAL,4,2026-06-08T16:07:33.031922,24,25,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000036,2026-06-07T16:07:33.031922,EVT00000109,USR008,EXTERNAL,UPDATE,INSURANCE_CLAIMS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,7,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000037,2026-06-07T16:07:33.031922,EVT00000111,USR003,DATA_ANALYST,DELETE,LAB_RESULTS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,27,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000038,2026-06-07T16:07:33.031922,EVT00000114,USR003,DATA_ANALYST,DELETE,LAB_RESULTS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,36,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000039,2026-06-07T16:07:33.031922,EVT00000116,USR007,IT_SUPPORT,READ,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,9,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000040,2026-06-07T16:07:33.031922,EVT00000126,USR003,DATA_ANALYST,DELETE,INSURANCE_CLAIMS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,16,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000041,2026-06-07T16:07:33.031922,EVT00000127,USR006,RESEARCHER,FAILED_LOGIN,EHR_FULL_RECORD,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,12,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000042,2026-06-07T16:07:33.031922,EVT00000129,USR007,IT_SUPPORT,PRINT,PATIENT_DEMOGRAPHICS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,12,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000043,2026-06-07T16:07:33.031922,EVT00000130,USR002,NURSE,FAILED_LOGIN,DISCHARGE_SUMMARY,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,36,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000044,2026-06-07T16:07:33.031922,EVT00000133,USR008,EXTERNAL,UPDATE,PRESCRIPTIONS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,18,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000045,2026-06-07T16:07:33.031922,EVT00000134,USR003,DATA_ANALYST,READ,CLINICAL_NOTES,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,8,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000046,2026-06-07T16:07:33.031922,EVT00000140,USR008,EXTERNAL,READ,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,5,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000047,2026-06-07T16:07:33.031922,EVT00000141,USR005,ADMIN,EXPORT,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,414,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000048,2026-06-07T16:07:33.031922,EVT00000142,USR001,PHYSICIAN,FAILED_LOGIN,IMAGING_REPORTS,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,37,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000049,2026-06-07T16:07:33.031922,EVT00000143,USR007,IT_SUPPORT,READ,LAB_RESULTS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,6,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000050,2026-06-07T16:07:33.031922,EVT00000144,USR005,ADMIN,READ,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,7,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000051,2026-06-07T16:07:33.031922,EVT00000147,USR005,ADMIN,EXPORT,CLINICAL_NOTES,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,853,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",True,True,OPEN,Immediate notification required
BRH000052,2026-06-07T16:07:33.031922,EVT00000148,USR007,IT_SUPPORT,READ,PATIENT_DEMOGRAPHICS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,5,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
